,Source,Link
74,Swarajya,https://swarajyamag.com/insta/covid-19-now-covered-under-ayushman-bharat-scheme-free-test-treatment-for-50-crore-pmjay-beneficiaries
75,Swarajya,https://swarajyamag.com/insta/delhi-259-people-from-nizamuddin-markaz-test-positive-for-covid-19-total-tally-384-informs-cm-arvind-kejriwal
76,Swarajya,https://swarajyamag.com/insta/tablighi-jamaat-members-threatening-doctors-refusing-covid-19-testing-says-lnjp-hospital-director-police-deployed
77,Swarajya,https://swarajyamag.com/insta/mumbai-second-covid-19-case-reported-in-dharavi-52-year-old-bmc-sanitization-worker-tests-positive
78,Swarajya,https://swarajyamag.com/economy/no-1-covid-lesson-ignore-kagaz-nahin-dikhayenge-anarchists-and-build-state-capacity
79,Swarajya,https://swarajyamag.com/insta/karnataka-chief-minister-b-s-yediyurappa-donates-one-years-salary-for-covid-19-relief
80,Swarajya,https://swarajyamag.com/insta/indian-railways-to-modify-20000-rail-coaches-into-isolation-wards-to-accommodate-up-to-32-lakh-covid-19-patients
81,Swarajya,https://swarajyamag.com/insta/yogi-govt-takes-over-four-5-star-hotels-in-lucknow-to-lodge-healthcare-workers-leading-the-fight-against-covid-19
82,Swarajya,https://swarajyamag.com/insta/mumbai-civic-body-withdraws-circular-making-cremation-must-for-covid-19-patients-irrespective-of-religion
83,Swarajya,https://swarajyamag.com/insta/kerala-32-new-covid-19-cases-cm-claims-migrant-labour-protests-instigated-by-some-evil-minds-to-tarnish-the-state
84,Swarajya,https://swarajyamag.com/insta/10-cases-of-covid-19-in-andaman-and-nicobar-island-all-attendees-of-tablighi-jamaat-congregation-in-nizamuddin
85,Swarajya,https://swarajyamag.com/insta/home-ministry-suspends-senior-delhi-government-bureaucrats-for-serious-lapses-in-containing-covid-19-spread
86,Swarajya,https://swarajyamag.com/insta/covid-19-cabinet-secretary-rajiv-gauba-dismisses-media-claims-says-no-plan-to-extend-21-day-lockdown
